Province,City,lat,lng,confirmed,deaths,recovered,,
Sindh,Karachi,24.9056,67.0822,165,1,4,,
Sindh,Hyderabad,25.396891,68.377183,2,0,0,,
Sindh,Sukkur,27.705164,68.857383,265,0,0,,
Sindh,Larkana,27.558985,68.212035,7,0,0,,
Sindh,Mipur Khas,25.5251,69.0159,0,0,0,,
Sindh,Nawabshah,26.248334,68.409554,0,0,0,,
Sindh,Shahdad Kot,27.847263,67.906789,0,0,0,,
Sindh,Matiari,25.59709,68.4467,0,0,0,,
Sindh,Thatta,24.747449,67.923528,0,0,0,,
Sindh,Badin,24.655995,68.836997,0,0,0,,
Sindh,Tando Allahyar,25.462626,68.719233,0,0,0,,
Sindh,Sanghar,26.046558,68.9481,0,0,0,,
Sindh,Ghotki,28.00604,69.316077,0,0,0,,
Sindh,Dadu,26.730334,67.776896,1,0,0,,
Sindh,Shikarpur,27.957057,68.637886,0,0,0,,
Sindh,Khairpur,27.529483,68.761698,0,0,0,,
Sindh,Jamshoro,25.436078,68.280172,0,0,0,,
Sindh,Umarkot,25.36157,69.736241,0,0,0,,
Sindh,Jacobabad,28.281873,68.437613,0,0,0,,
Sindh,Naushahro Firoz,26.840104,68.122651,0,0,0,,
Sindh,Tando Muhammad Khan,25.123007,68.535773,0,0,0,,
Sindh,Kandhkot,28.243963,69.182354,0,0,0,,
Sindh,Others,0,1,0,0,10,,
Sindh,Total,0,0,440,1,14,,
Punjab,Lahore,31.549722,74.343611,115,3,0,,
Punjab,Faisalabad,31.416667,73.083333,10,1,0,,
Punjab,Rawalpindi,33.597331,73.047904,14,1,0,,
Punjab,Multan,30.196789,71.478241,49,0,0,,
Punjab,Gujranwala,32.155667,74.187052,9,0,0,,
Punjab,Bahawalpur,29.4,71.683333,0,0,0,,
Punjab,Sargodha,32.083611,72.671111,2,0,0,,
Punjab,Sialkot,32.499101,74.52502,0,0,0,,
Punjab,Sheikhupura,31.713056,73.978333,0,0,0,,
Punjab,Rahimyar Khan,28.419482,70.302386,1,0,0,,
Punjab,Jhang Sadr,31.269811,72.316867,0,0,0,,
Punjab,Gujrat,32.574204,74.075423,48,0,0,,
Punjab,Kasur,31.115556,74.446667,0,0,0,,
Punjab,Dera Ghazi Khan,30.056142,70.634766,212,0,0,,
Punjab,Masa Wala,30.683333,73.066667,0,0,0,,
Punjab,Okara,30.808056,73.445833,0,0,0,,
Punjab,Chiniot,31.72,72.978889,0,0,0,,
Punjab,Sadiqabad,28.30623,70.130646,0,0,0,,
Punjab,Kundian,32.457747,71.478918,0,0,0,,
Punjab,Lodhran,29.540507,71.63357,0,0,0,,
Punjab,Muzaffargarh,30.072576,71.193788,0,0,0,,
