	NO. OF QUARANTINE CENTRE W.R.T CORONA VIRUS	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CompleteAddress	Lat	Long
0	District	Name of Quarantine Centre	Hotel Rooms	No. of Rooms	"Capacity to
Accommodate Persons"	Facilities Available	Remarks		Name of Quarantine Centre District	0	0
1	Bahawalpur	The Islamia University Bahawalpur		866	1436	"Electricity, Water Supply, Wash rooms & Medical
facility"	Shared Wash Rooms		The Islamia University Bahawalpur Bahawalpur	29.3982985	71.6910248
2	Bahawalpur	79 Private Hotel	848		848	Attach Bath			79 Private Hotel Bahawalpur	38.86045102	-78.3245217
3	Bahawalnagar	"Girls Hostel Islamia University new
campus, Bahawalnagar"		55	128	All facilities available			"Girls Hostel Islamia University new
campus, Bahawalnagar Bahawalnagar"	0	0
4	Bahawalnagar	"Rice Research Center, Bahawalnagar"		13	26	All facilities available			"Rice Research Center, Bahawalnagar Bahawalnagar"	0	0
5	Bahawalnagar	"Daanish School (Boys & Girls), Chishtian"		40	256	All facilities available			"Daanish School (Boys & Girls), Chishtian Bahawalnagar"	0	0
6	Bahawalnagar	"Govt. Degree college Boys, Dahranwala"		21	178	All facilities available			"Govt. Degree college Boys, Dahranwala Bahawalnagar"	0	0
7	Bahawalnagar	"Govt. Girls Degree College Minchinabad
Hostels,"		27	45	All facilities available			"Govt. Girls Degree College Minchinabad
Hostels, Bahawalnagar"	0	0
8	Bahawalnagar	"Govt. Girls Degree College, Fortabbas"		13	125	All facilities available			"Govt. Girls Degree College, Fortabbas Bahawalnagar"	0	0
9	Bahawalnagar	"Govt. Degree College for Girls Latifabad,
Haroonabad"		26	230	All facilities available			"Govt. Degree College for Girls Latifabad,
Haroonabad Bahawalnagar"	0	0
10	Bahawalnagar	19 Private Hotel	242		243	All facilities available			19 Private Hotel Bahawalnagar	38.86049302	-78.32034299
11	R. Y. Khan	37 Private Hotel	620		620	Attach Bath			37 Private Hotel R. Y. Khan	38.8605727	-78.32160136
