	NO. OF QUARANTINE CENTRE W.R.T CORONA VIRUS	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CompleteAddress	Lat	Long
0	District	Name of Quarantine Centre	Hotel Rooms	No. of Rooms	Capacity to Accommodate Persons	Facilities Available	Remarks		Name of Quarantine Centre District	0	0
1	Bahawalpur	The Islamia University Bahawalpur		866	1436	Electricity, Water Supply, Wash rooms & Medical facility	Shared Wash Rooms		The Islamia University Bahawalpur Bahawalpur	29.3982985	71.6910248
2	Bahawalpur	79 Private Hotel	848		848	Attach Bath			79 Private Hotel Bahawalpur	0	0
3	Bahawalnagar	Girls Hostel Islamia University new campus, Bahawalnagar		55	128	All facilities available			Girls Hostel Islamia University new campus, Bahawalnagar Bahawalnagar	30.732688	72.6494609
4	Bahawalnagar	Rice Research Center, Bahawalnagar		13	26	All facilities available			Rice Research Center, Bahawalnagar Bahawalnagar	30.0164557	73.267316
5	Bahawalnagar	Daanish School (Boys & Girls), Chishtian		40	256	All facilities available			Daanish School (Boys & Girls), Chishtian Bahawalnagar	29.8498374	72.9424344
6	Bahawalnagar	Govt. Degree college Boys, Dahranwala		21	178	All facilities available			Govt. Degree college Boys, Dahranwala Bahawalnagar	29.6039744	72.5706378
7	Bahawalnagar	Govt. Girls Degree College Minchinabad Hostels,		27	45	All facilities available			Govt. Girls Degree College Minchinabad Hostels, Bahawalnagar	30.1576831	73.562382
8	Bahawalnagar	Govt. Girls Degree College, Fortabbas		13	125	All facilities available			Govt. Girls Degree College, Fortabbas Bahawalnagar	29.1822176	72.8581229
9	Bahawalnagar	Govt. Degree College for Girls Latifabad, Haroonabad		26	230	All facilities available			Govt. Degree College for Girls Latifabad, Haroonabad Bahawalnagar	29.6266468	73.129066
10	Bahawalnagar	19 Private Hotel	242		243	All facilities available			19 Private Hotel Bahawalnagar	0	0
11	R. Y. Khan	37 Private Hotel	620		620	Attach Bath			37 Private Hotel R. Y. Khan	0	0
